strategy_code,strategy,include,cb_function,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes
SOCE:DEC_DEMAND_HEAT_REP,SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production,0,cb_difference_between_two_strategies,SOCE:DEC_DEMAND_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_scoe_total,-5560000,$/PJ,1,technical_cost,Cost of building shell efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",
SOCE:DEC_DEMAND_HEAT,SCOE: Reduce end-use demand for heat energy by improving building shell,1,cb_difference_between_two_strategies,SOCE:DEC_DEMAND_HEAT,BASE,energy_consumption_scoe_total,-5560000,$/PJ,1,technical_cost,Cost of building shell efficiency,0,$0.02/kwh,"Perry et al. (2019, p. 17) estimate the costs in 2018 dollars of reducing building energy demands through a variety of energy efficiency measures in the US (for the purposes of comparing them to the costs of installing solar PV). We adjust the average cost effectiveness of $0.04/kWh saed for LAC.",
ENTC:REDUCE_LOSSES,ENTC: Reduce transmission losses,1,cb_entc_reduce_losses,ENTC:REDUCE_LOSSES,BASE,energy_consumption_inen_total,,,,technical_cost_electricity_loss_reduction,Cost of reducing electricity transmission losses,0,Varies by country,"The IDB (Brichettei et al., 2021) estimate the cost between 2020 and 2030 of upgrading each country’s grid to meet SDGs to 2030. We use a simple annual average as an approximation of the annual cost of upgrades in each country that would yield reductions in transmission losses.  ",
ENTC:REDUCE_LOSSES_REP,ENTC: Reduce transmission losses with renewable energy production,1,cb_entc_reduce_losses,ENTC:REDUCE_LOSSES_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,,,,technical_cost_electricity_loss_reduction,Cost of reducing electricity transmission losses,0,Varies by country,"The IDB (Brichettei et al., 2021) estimate the cost between 2020 and 2030 of upgrading each country’s grid to meet SDGs to 2030. We use a simple annual average as an approximation of the annual cost of upgrades in each country that would yield reductions in transmission losses.  ",
IPPU:DEC_DEMAND,IPPU: Demand management,,,,,,,,,,,,,,
IPPU:DEC_CLINKER,IPPU: Reduce cement clinker,0,cb_ippu_clinker,IPPU:DEC_CLINKER,BASE,prod_ippu_cement_tonne,-47,$/ton cement,1,technical_savings_avoided_clinker,Savings from avoided clinker cost,0,$47/ton cement,"Leming et al. (2017) estimate that a ton of fly ash costs roughly 1/3 of a ton of cement, though more fly ash may be needed to replace an equivalent amount of clinker to achieve the same physical properties. We estimate therefore that each ton of substitution results in 50% savings in the cost of cement, which was approximately $94/ton in LAC in 2019 (Sindicato Nacional da Indústria do Cimento, 2022).",The difference variable in this row is a dummy variable
IPPU:BUNDLE_DEC_FGAS,IPPU: Reduce fluorinated gasses bundle,1,cb_ippu_florinated_gases,IPPU:BUNDLE_DEC_FGAS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_florinated_gasses,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
IPPU:DEC_N2O,IPPU: Reduce Nitrous Oxide emissions,1,cb_difference_between_two_strategies,IPPU:DEC_N2O,BASE,emission_co2e_n2o_ippu_production_chemicals,-13,$/ton CO2e,1,technical_cost_abating_n2o_chemical_production,Cost of abating N2O in chemical prouduction,1,$13/ton CO2e,"We use data in EPA (2019, Table 5-10) to estimate an undiscounted abatement cost of $38/ton of adipic acid and $3/ton of nitric acid
approximates (in the US in 2010 dollars). Use an average of these costs and adjust to LAC 2019 USD.",
IPPU:DEC_OTHER_FCS,IPPU: Reduce other fluorinated compounds,1,cb_ippu_florinated_gases,IPPU:DEC_OTHER_FCS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_other_florinated_gases,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
IPPU:DEC_HFCS,IPPU: Reduce use of HFCs,1,cb_ippu_florinated_gases,IPPU:DEC_HFCS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_HFCS,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
IPPU:DEC_PFCS,IPPU: Reduce use of PFCs,1,cb_ippu_florinated_gases,IPPU:DEC_PFCS,BASE,emission_co2e_hfcs_ippu_production_electronics,63,$/ton CO2e,1,technical_cost_abating_PFCS,Cost of abating PFCs,0,$63/ton CO2e,"The EPA (2019, undated) estimates that approximately 85% abatement of F-gases in Brazil, Argentina, and Venezuela (the three largest emitters in LAC) an occur at a cost of less than $100 per tCO2e by 2050, in 2010 dollars. We use a weighted average to account for abatement that can occur at no cost and adjust to LAC in 2019 dollars.",The difference variable in this row is a dummy variable
